team,rank_matches_only,strength_matches,rank_pele_tight,strength_pele_tight,pele_rating,pele_rank
Spain,1,5.5997,1,2.884,2062,3
Morocco,3,4.0788,2,2.2457,1897,12
Argentina,2,4.2677,3,2.0658,2071,1
France,4,3.9599,4,2.0648,2069,2
England,6,3.7986,5,1.9791,2004,5
Norway,5,3.8062,6,1.8091,1943,8
Portugal,8,3.5659,7,1.804,1972,6
Mexico,7,3.748,8,1.6853,1883,16
Netherlands,10,3.2427,9,1.5884,1939,9
Senegal,18,2.746,10,1.5175,1875,18
Germany,11,3.1984,11,1.4707,1926,10
Colombia,9,3.3794,12,1.4053,1949,7
Japan,17,2.8005,13,1.3889,1879,17
Turkey,16,2.8344,14,1.2669,1853,21
Brazil,12,3.1124,15,1.2412,2010,4
Iran,19,2.6999,16,1.2276,1727,33
Australia,21,2.6491,17,1.227,1793,25
Nigeria,30,2.3252,18,1.2169,,
Egypt,33,2.193,19,1.1802,1789,27
Ivory Coast,38,2.1025,20,1.173,1804,23
Panama,20,2.6981,21,1.138,1701,36
Algeria,39,2.0796,22,1.112,1766,29
South Korea,26,2.3951,23,1.1036,1759,32
Ecuador,13,3.0125,24,1.0813,1894,13
United States,14,2.8577,25,1.0752,1807,22
Italy,22,2.519,26,1.0637,,
Costa Rica,29,2.3489,27,1.0222,,
Switzerland,25,2.4228,28,1.0003,1908,11
Croatia,31,2.2383,29,0.9721,1858,20
Uruguay,15,2.8546,30,0.9611,1889,15
DR Congo,41,2.0134,31,0.9477,1765,31
Honduras,36,2.1104,32,0.935,,
Belgium,37,2.106,33,0.9226,1890,14
Denmark,28,2.351,34,0.9102,,
Canada,23,2.506,35,0.8915,1791,26
Austria,34,2.1753,36,0.8508,1798,24
Wales,44,1.9254,37,0.8501,,
Cameroon,52,1.5116,38,0.8083,,
Uzbekistan,35,2.1293,39,0.8,1655,40
Iraq,40,2.0239,40,0.7899,1603,46
Jamaica,46,1.8361,41,0.7703,,
Kosovo,45,1.9216,42,0.7676,,
Jordan,42,1.9881,43,0.7601,1629,43
New Zealand,27,2.3557,44,0.7402,1624,44
Romania,50,1.6425,45,0.6749,,
Paraguay,24,2.4457,46,0.6599,1866,19
Greece,43,1.9649,47,0.6591,,
Curaçao,55,1.3703,48,0.6304,,
South Africa,51,1.6008,49,0.6193,1680,38
Slovenia,48,1.8115,50,0.6089,,
Mali,70,1.0511,51,0.6057,,
Saudi Arabia,49,1.7311,52,0.5889,1644,41
Syria,67,1.1237,53,0.5391,,
United Arab Emirates,57,1.3128,54,0.5279,,
Guatemala,54,1.3949,55,0.5092,,
Ukraine,53,1.5093,56,0.5085,,
Guadeloupe,71,1.0029,57,0.4885,,
Angola,68,1.0783,58,0.4816,,
North Macedonia,66,1.1525,59,0.4585,,
Scotland,47,1.8158,60,0.4507,1768,28
Trinidad and Tobago,64,1.2038,61,0.4504,,
Venezuela,32,2.2021,62,0.4319,,
Slovakia,61,1.272,63,0.4298,,
Vietnam,87,0.6318,64,0.4277,,
Burkina Faso,88,0.6295,65,0.4198,,
Thailand,94,0.523,66,0.4009,,
Qatar,56,1.3536,67,0.392,1540,47
Suriname,69,1.0748,68,0.388,,
Haiti,60,1.2817,69,0.3789,1606,45
Nicaragua,82,0.7213,70,0.3769,,
Dominican Republic,106,0.1726,71,0.3687,,
Cape Verde,63,1.2277,72,0.361,1662,39
Uganda,79,0.7847,73,0.3493,,
Tunisia,78,0.7993,74,0.3377,1637,42
Gabon,89,0.6047,75,0.3289,,
Serbia,59,1.2892,76,0.3245,,
Guyana,98,0.4649,77,0.3238,,
Sweden,65,1.1883,78,0.2916,1765,30
Poland,72,0.9777,79,0.2827,,
Mozambique,85,0.6758,80,0.2689,,
Ghana,73,0.9705,81,0.2582,1704,35
Hungary,62,1.2483,82,0.2532,,
Tajikistan,96,0.4907,83,0.2473,,
New Caledonia,81,0.7473,84,0.2261,,
Malaysia,112,0.0475,85,0.2114,,
Czech Republic,74,0.9233,86,0.1785,1719,34
Guinea,95,0.4908,87,0.1772,,
Benin,76,0.852,88,0.1697,,
Albania,80,0.7748,89,0.1418,,
Saint Martin,118,-0.1095,90,0.137,,
Libya,93,0.5257,91,0.1303,,
Fiji,107,0.1722,92,0.1152,,
Niger,90,0.5711,93,0.0862,,
Zambia,102,0.4342,94,0.0834,,
Republic of Ireland,77,0.8102,95,0.0728,,
Georgia,75,0.8573,96,0.0546,,
